Date,Open,High,Low,Close,Volume
2023-08-25,4.422,4.496,4.357,4.49,1865483.14
2023-08-26,4.49,4.514,4.476,4.507,1360546.99
2023-08-27,4.505,4.544,4.461,4.489,1274702.18
2023-08-28,4.489,4.622,4.416,4.61,3101890.05
2023-08-29,4.61,4.806,4.54,4.678,4406290.23
2023-08-30,4.678,4.68,4.5,4.534,2107999.59
2023-08-31,4.535,4.535,4.234,4.271,5159773.24
2023-09-01,4.271,4.295,4.136,4.218,3247599.73
2023-09-02,4.218,4.274,4.201,4.261,1385184.88
2023-09-03,4.262,4.3,4.226,4.259,1249649.68
2023-09-04,4.26,4.321,4.193,4.26,2592614.46
2023-09-05,4.26,4.303,4.198,4.257,1833680.97
2023-09-06,4.257,4.289,4.171,4.272,2292602.88
2023-09-07,4.273,4.31,4.235,4.294,2015368.19
2023-09-08,4.294,4.332,4.204,4.253,1911730.39
2023-09-09,4.253,4.278,4.236,4.236,810888.38
2023-09-10,4.236,4.238,4.103,4.149,2602755.63
2023-09-11,4.149,4.155,3.908,3.989,4954332.39
2023-09-12,3.988,4.097,3.953,3.986,3322442.65
2023-09-13,3.987,4.1,3.95,3.998,2434240.08
2023-09-14,3.999,4.088,3.973,4.058,2826450.26
2023-09-15,4.059,4.172,4.046,4.139,2403258.06
2023-09-16,4.138,4.225,4.134,4.185,1814021.69
2023-09-17,4.187,4.189,4.046,4.07,1800037.06
2023-09-18,4.07,4.22,4.014,4.106,2979553.42
2023-09-19,4.106,4.17,4.079,4.152,2631215.34
2023-09-20,4.154,4.168,4.065,4.138,1646018.87
2023-09-21,4.139,4.166,4.001,4.012,1780734.04
2023-09-22,4.012,4.038,3.976,4.019,1633445.47
2023-09-23,4.019,4.038,3.998,4.033,1005804.33
2023-09-24,4.033,4.058,3.971,3.993,1093945.04
2023-09-25,3.99,4.09,3.947,4.068,2354682.85
2023-09-26,4.067,4.092,3.974,4.013,2176205.87
2023-09-27,4.013,4.075,3.967,3.993,2220464.79
2023-09-28,3.993,4.101,3.981,4.073,2423443.08
2023-09-29,4.074,4.12,4.055,4.074,2088662.26
2023-09-30,4.074,4.119,4.071,4.103,1275233.11
2023-10-01,4.104,4.289,4.102,4.263,2265876.1
2023-10-02,4.264,4.31,4.058,4.12,3854026.25
2023-10-03,4.121,4.162,4.05,4.077,1564379.73
2023-10-04,4.076,4.076,3.958,4.042,2554470.06
2023-10-05,4.042,4.088,4.0,4.024,1725328.6
2023-10-06,4.024,4.094,3.998,4.068,1399327.65
2023-10-07,4.069,4.114,4.044,4.051,1027727.79
2023-10-08,4.052,4.072,4.0,4.012,1327658.78
2023-10-09,4.012,4.03,3.756,3.881,3725371.284
2023-10-10,3.88,3.895,3.77,3.811,1997871.04
2023-10-11,3.812,3.823,3.7,3.74,2158166.14
2023-10-12,3.739,3.741,3.621,3.676,2722797.38
2023-10-13,3.676,3.776,3.667,3.721,1628293.29
2023-10-14,3.721,3.762,3.717,3.735,1024225.4
2023-10-15,3.734,3.782,3.707,3.753,1572397.09
2023-10-16,3.753,3.9,3.736,3.776,3758880.85
2023-10-17,3.776,3.779,3.636,3.67,2232638.47
2023-10-18,3.669,3.723,3.629,3.654,1660166.05
2023-10-19,3.653,3.66,3.562,3.649,2373829.06
2023-10-20,3.649,3.805,3.638,3.718,3760071.55
2023-10-21,3.72,3.98,3.706,3.909,3652845.43
2023-10-22,3.909,3.973,3.795,3.967,3393543.88
2023-10-23,3.967,4.368,3.918,4.357,8758003.44
2023-10-24,4.358,4.425,4.096,4.19,9440500.3
2023-10-25,4.189,4.355,4.137,4.291,5030468.8
2023-10-26,4.292,4.451,4.15,4.234,5741821.06
2023-10-27,4.234,4.236,4.01,4.135,5100506.33
2023-10-28,4.134,4.225,4.13,4.181,2924361.17
2023-10-29,4.181,4.355,4.126,4.315,3308326.4
2023-10-30,4.315,4.532,4.233,4.525,6732331.76
2023-10-31,4.525,4.603,4.272,4.449,7122930.14
2023-11-01,4.448,4.804,4.322,4.727,8664657.37
2023-11-02,4.728,4.795,4.51,4.629,7516552.17
2023-11-03,4.63,4.646,4.456,4.61,4994752.05
2023-11-04,4.611,4.78,4.585,4.681,3730420.45
2023-11-05,4.682,4.91,4.653,4.762,8339719.52
2023-11-06,4.763,4.994,4.677,4.967,8062202.56
2023-11-07,4.967,5.05,4.719,4.927,6434501.97
2023-11-08,4.927,5.094,4.86,5.033,7479657.7
2023-11-09,5.032,5.265,4.457,5.09,11953209.53
2023-11-10,5.093,5.317,4.964,5.3,8809057.17
2023-11-11,5.3,5.682,5.086,5.557,13408385.78
2023-11-12,5.557,5.859,5.344,5.709,12507667.74
2023-11-13,5.709,5.89,5.331,5.348,10036536.86
2023-11-14,5.349,5.522,5.0,5.197,8881631.37
2023-11-15,5.198,5.64,5.185,5.564,8603942.41
2023-11-16,5.563,5.809,5.271,5.352,11216571.93
2023-11-17,5.352,5.486,5.05,5.244,6627256.73
2023-11-18,5.243,5.29,4.991,5.289,5049686.4
2023-11-19,5.29,5.481,5.176,5.434,5288348.36
2023-11-20,5.433,5.569,5.255,5.302,6191396.11
2023-11-21,5.302,5.326,4.819,4.858,9809122.53
2023-11-22,4.857,5.287,4.843,5.174,6324028.79
2023-11-23,5.174,5.219,5.082,5.139,3046432.52
2023-11-24,5.139,5.294,5.118,5.242,5725071.98
2023-11-25,5.242,5.389,5.213,5.328,3228936.41
2023-11-26,5.328,5.415,5.145,5.329,4327342.3
2023-11-27,5.329,5.377,5.037,5.156,6281479.69
2023-11-28,5.156,5.313,5.102,5.275,5448920.48
2023-11-29,5.275,5.4,5.15,5.161,4978065.6
2023-11-30,5.161,5.591,5.118,5.473,9449624.6
2023-12-01,5.473,5.525,5.369,5.471,3790598.48
2023-12-02,5.47,5.604,5.45,5.562,3691046.39
2023-12-03,5.562,5.624,5.43,5.541,4369800.25
2023-12-04,5.54,5.721,5.421,5.632,8239235.76
2023-12-05,5.633,5.946,5.511,5.907,11736819.83
2023-12-06,5.907,6.205,5.77,6.046,11202513.64
2023-12-07,6.045,6.3,5.901,6.242,8281399.33
2023-12-08,6.242,6.914,6.166,6.837,11355959.93
2023-12-09,6.838,7.689,6.83,7.101,16985044.2
2023-12-10,7.102,7.362,6.959,7.348,6780828.9
2023-12-11,7.348,7.361,6.285,6.709,12451395.17
2023-12-12,6.706,7.353,6.696,7.131,13610015.42
2023-12-13,7.133,7.648,6.613,7.603,11463964.93
2023-12-14,7.602,7.769,6.955,7.507,12681742.91
2023-12-15,7.508,7.564,6.926,6.951,10696904.91
2023-12-16,6.951,7.352,6.859,7.092,6517746.9
2023-12-17,7.092,7.163,6.749,6.784,6649743.84
2023-12-18,6.785,6.886,6.368,6.885,7414872.74
2023-12-19,6.884,7.049,6.612,6.706,5474784.2
2023-12-20,6.706,7.136,6.618,6.951,8621839.76
2023-12-21,6.952,8.435,6.915,8.42,27166695.07
2023-12-22,8.422,8.58,7.841,7.954,16078478.66
2023-12-23,7.954,8.446,7.578,8.326,12748793.29
2023-12-24,8.326,9.2,8.315,8.611,26401737.92
2023-12-25,8.612,9.4,8.499,9.191,19304116.18
2023-12-26,9.192,9.593,8.353,8.819,14922261.11
2023-12-27,8.819,9.063,8.402,8.694,9947554.08
2023-12-28,8.695,8.912,8.263,8.426,9422637.54
2023-12-29,8.427,8.686,8.049,8.291,11281188.12
2023-12-30,8.291,8.489,8.095,8.346,4747990.66
2023-12-31,8.346,8.648,8.025,8.202,6738987.99
2024-01-01,8.203,8.63,8.061,8.595,5268802.23
2024-01-02,8.594,8.806,8.317,8.411,6792266.31
2024-01-03,8.408,8.575,6.5,7.626,14473959.94
2024-01-04,7.626,7.999,7.469,7.879,7500909.27
2024-01-05,7.879,7.954,7.178,7.45,7631254.61
2024-01-06,7.448,7.448,6.943,7.133,4644445.49
2024-01-07,7.132,7.327,6.817,6.899,4713975.33
2024-01-08,6.899,7.506,6.51,7.483,8524497.42
2024-01-09,7.483,7.527,6.908,7.129,6989170.94
2024-01-10,7.128,8.091,6.8,7.991,9967541.16
2024-01-11,7.99,8.58,7.85,8.148,12836225.08
2024-01-12,8.147,8.212,7.31,7.567,8688542.18
2024-01-13,7.566,7.753,7.37,7.617,4481440.54
2024-01-14,7.618,7.699,7.316,7.319,3486216.3
2024-01-15,7.319,7.692,7.308,7.509,4209668.41
2024-01-16,7.509,7.688,7.339,7.493,4432209.01
2024-01-17,7.492,7.597,7.255,7.35,4237892.42
2024-01-18,7.349,7.39,6.82,7.017,6630266.6
2024-01-19,7.018,7.052,6.571,6.894,6152238.35
2024-01-20,6.894,6.951,6.778,6.913,3231059.21
2024-01-21,6.913,6.977,6.801,6.817,2659737.77
2024-01-22,6.815,6.848,6.293,6.341,8335532.94
2024-01-23,6.342,6.455,5.979,6.361,7491685.08
2024-01-24,6.362,6.542,6.26,6.462,4831265.54
2024-01-25,6.461,6.579,6.346,6.438,3968963.16
2024-01-26,6.438,6.73,6.361,6.672,5226941.0
2024-01-27,6.671,6.753,6.53,6.669,3827612.45
2024-01-28,6.669,6.875,6.567,6.872,5140566.57
2024-01-29,6.871,7.298,6.705,7.032,9464149.78
2024-01-30,7.031,7.087,6.822,6.836,5806026.21
2024-01-31,6.838,6.888,6.584,6.654,5331313.42
2024-02-01,6.653,6.816,6.53,6.791,3801576.85
2024-02-02,6.791,7.028,6.763,6.947,3879893.39
2024-02-03,6.947,7.01,6.813,6.825,2228612.1
2024-02-04,6.826,6.826,6.647,6.666,1847358.83
2024-02-05,6.666,6.976,6.592,6.737,4053934.37
2024-02-06,6.737,6.832,6.639,6.807,3262058.56
2024-02-07,6.806,6.966,6.671,6.941,3978510.79
2024-02-08,6.941,7.11,6.87,7.013,5636725.94
2024-02-09,7.014,7.329,6.96,7.196,6703902.0
2024-02-10,7.197,7.29,7.059,7.2,3362657.29
2024-02-11,7.2,7.342,7.077,7.099,4140070.61
2024-02-12,7.099,7.377,6.978,7.34,6638724.11
2024-02-13,7.34,7.45,7.111,7.353,5806068.65
2024-02-14,7.354,7.71,7.273,7.649,6998063.16
2024-02-15,7.648,7.95,7.526,7.781,8076847.34
2024-02-16,7.781,7.868,7.537,7.647,5128123.74
2024-02-17,7.647,7.709,7.34,7.704,3946834.47
2024-02-18,7.704,7.92,7.676,7.86,4114553.53
2024-02-19,7.86,8.148,7.651,8.029,8186553.0
2024-02-20,8.029,8.117,7.399,7.731,9552318.01
2024-02-21,7.731,7.732,7.225,7.466,6514766.28
2024-02-22,7.466,7.687,7.274,7.48,5384307.43
2024-02-23,7.481,7.646,7.269,7.563,6638489.31
2024-02-24,7.564,7.891,7.431,7.819,6116096.37
2024-02-25,7.819,7.95,7.677,7.923,4176758.99
2024-02-26,7.924,8.117,7.583,8.109,7572230.28
2024-02-27,8.109,8.449,7.987,8.371,10449184.54
2024-02-28,8.371,8.715,7.713,8.342,15023729.48
2024-02-29,8.342,8.899,8.029,8.261,11567082.87
2024-03-01,8.263,8.673,8.263,8.661,7440771.13
2024-03-02,8.661,9.467,8.576,9.463,12812343.11
2024-03-03,9.463,9.9,8.576,9.781,15549955.02
2024-03-04,9.781,10.31,9.5,9.862,20642389.86
2024-03-05,9.862,10.762,8.17,9.32,31707926.36
2024-03-06,9.32,10.56,8.924,10.544,17135241.23
2024-03-07,10.544,11.0,10.209,10.402,11994126.73
2024-03-08,10.404,10.7,9.946,10.637,12982892.21
2024-03-09,10.637,10.95,10.409,10.493,9384527.61
2024-03-10,10.494,10.574,9.963,10.261,7587844.77
2024-03-11,10.262,11.249,9.791,11.043,14996657.84
2024-03-12,11.043,11.15,10.02,10.736,12039946.94
2024-03-13,10.736,11.46,10.638,11.374,11969881.19
2024-03-14,11.374,11.889,10.675,11.558,20155350.19
2024-03-15,11.557,11.706,9.975,10.81,20216540.26
2024-03-16,10.811,10.899,9.502,9.682,13825011.98
2024-03-17,9.684,10.252,9.19,10.083,9420189.81
2024-03-18,10.083,10.456,9.602,9.902,9838197.4
2024-03-19,9.901,9.994,8.6,8.766,15363075.8
2024-03-20,8.766,9.567,8.488,9.483,12729562.23
2024-03-21,9.483,9.583,9.067,9.179,7536093.12
2024-03-22,9.179,9.367,8.694,8.936,6104700.92
2024-03-23,8.939,9.224,8.852,8.968,3464506.12
2024-03-24,8.967,9.43,8.952,9.37,3551552.34
2024-03-25,9.372,9.832,9.287,9.735,6350466.97
2024-03-26,9.737,10.057,9.525,9.689,8244078.96
2024-03-27,9.689,9.814,9.304,9.445,7078224.52
2024-03-28,9.448,9.659,9.3,9.522,5433742.81
2024-03-29,9.524,9.81,9.344,9.601,6430200.46
2024-03-30,9.601,9.699,9.387,9.429,3097586.67
2024-03-31,9.429,9.649,9.414,9.647,2347041.29
2024-04-01,9.647,9.747,8.923,9.143,6554213.02
2024-04-02,9.143,9.143,8.37,8.582,8040640.57
2024-04-03,8.582,8.78,8.284,8.416,5456340.4
2024-04-04,8.416,8.711,8.263,8.486,5143837.32
2024-04-05,8.486,8.511,8.076,8.379,4594358.61
2024-04-06,8.379,8.555,8.329,8.494,3135750.79
2024-04-07,8.495,8.741,8.458,8.704,3777830.16
2024-04-08,8.704,9.096,8.57,9.043,5282323.07
2024-04-09,9.043,9.137,8.632,8.659,6315720.0
2024-04-10,8.657,8.701,8.122,8.408,6364196.82
2024-04-11,8.408,8.528,8.183,8.384,4548223.43
2024-04-12,8.382,8.49,6.503,7.24,18112289.17
2024-04-13,7.24,7.334,5.693,6.388,21049661.8
2024-04-14,6.389,6.929,6.193,6.855,15785330.1
2024-04-15,6.855,7.206,6.429,6.708,9782724.46
2024-04-16,6.708,6.821,6.371,6.702,5720075.35
2024-04-17,6.7,6.779,6.326,6.583,4881081.63
2024-04-18,6.58,6.829,6.445,6.784,3726348.91
2024-04-19,6.783,6.917,6.274,6.682,7702126.65
2024-04-20,6.681,7.283,6.608,7.241,3963964.15
2024-04-21,7.241,7.288,6.962,7.14,2994106.76
2024-04-22,7.139,7.583,7.089,7.466,5143305.97
2024-04-23,7.467,7.543,7.205,7.242,4802056.52
2024-04-24,7.243,7.5,6.857,6.931,6094306.22
2024-04-25,6.932,7.001,6.703,6.862,4296277.37
2024-04-26,6.863,6.951,6.714,6.764,4650325.63
2024-04-27,6.765,6.866,6.511,6.807,3888055.62
