Date,Open,High,Low,Close,Volume
2023-08-25,6.084,6.085,5.913,6.014,3107452.3
2023-08-26,6.014,6.043,5.955,6.006,1636733.49
2023-08-27,6.005,6.045,5.953,6.03,1327983.29
2023-08-28,6.029,6.051,5.85,5.981,3374414.54
2023-08-29,5.981,6.318,5.842,6.194,5586925.4
2023-08-30,6.193,6.198,5.881,5.925,3206141.49
2023-08-31,5.925,6.064,5.73,5.879,4186968.01
2023-09-01,5.878,6.034,5.817,5.941,3668052.2
2023-09-02,5.941,5.999,5.89,5.972,1272779.56
2023-09-03,5.972,6.064,5.948,6.027,1783671.76
2023-09-04,6.03,6.164,5.944,6.012,2785879.47
2023-09-05,6.013,6.154,5.906,6.137,2961423.42
2023-09-06,6.138,6.35,6.094,6.302,4754687.99
2023-09-07,6.301,6.47,6.195,6.387,3097345.2
2023-09-08,6.388,6.404,6.144,6.28,2003043.64
2023-09-09,6.28,6.293,6.157,6.165,1037278.42
2023-09-10,6.165,6.165,5.949,6.015,2940010.89
2023-09-11,6.016,6.035,5.737,5.829,4285220.96
2023-09-12,5.827,6.077,5.808,5.957,3107349.35
2023-09-13,5.958,6.094,5.927,6.02,2998925.26
2023-09-14,6.021,6.213,6.006,6.151,3421841.03
2023-09-15,6.152,6.381,6.099,6.367,2517925.91
2023-09-16,6.367,6.421,6.184,6.281,1902334.13
2023-09-17,6.279,6.282,6.051,6.146,1503567.78
2023-09-18,6.146,6.84,6.099,6.567,7921921.79
2023-09-19,6.566,6.969,6.515,6.846,5536761.2
2023-09-20,6.846,7.045,6.741,6.905,4549051.69
2023-09-21,6.907,6.946,6.605,6.664,4270233.81
2023-09-22,6.665,6.972,6.593,6.958,3083344.65
2023-09-23,6.959,7.232,6.917,7.189,6314709.67
2023-09-24,7.189,7.25,6.95,6.972,3149084.7
2023-09-25,6.972,7.509,6.908,7.494,4956186.61
2023-09-26,7.494,7.576,7.248,7.356,3877254.09
2023-09-27,7.355,7.901,7.271,7.645,7180632.89
2023-09-28,7.641,8.07,7.572,7.807,7218442.3
2023-09-29,7.81,8.082,7.674,7.946,4632422.26
2023-09-30,7.947,8.276,7.939,8.191,5316780.65
2023-10-01,8.19,8.26,7.778,8.054,5741530.2
2023-10-02,8.053,8.103,7.352,7.47,7388633.58
2023-10-03,7.472,7.744,7.366,7.409,4753914.76
2023-10-04,7.408,7.78,7.2,7.674,5466659.39
2023-10-05,7.673,7.793,7.451,7.465,3846525.19
2023-10-06,7.469,7.764,7.432,7.639,3176035.64
2023-10-07,7.64,7.68,7.47,7.524,2235442.95
2023-10-08,7.521,7.948,7.5,7.673,5220385.39
2023-10-09,7.671,7.696,7.134,7.276,5400392.17
2023-10-10,7.276,7.392,7.174,7.259,3315249.53
2023-10-11,7.259,7.43,7.1,7.391,3701911.87
2023-10-12,7.39,7.416,7.115,7.197,3425077.36
2023-10-13,7.198,7.403,7.107,7.256,4244477.6
2023-10-14,7.257,7.373,7.205,7.331,1522386.46
2023-10-15,7.331,7.568,7.285,7.423,2299972.73
2023-10-16,7.422,7.832,7.411,7.525,4491818.19
2023-10-17,7.525,7.559,7.262,7.32,2869585.65
2023-10-18,7.32,7.483,7.28,7.356,2301928.23
2023-10-19,7.356,7.435,7.215,7.304,2421707.11
2023-10-20,7.304,7.71,7.261,7.57,4329807.55
2023-10-21,7.57,9.171,7.52,8.914,15593852.19
2023-10-22,8.914,10.288,8.839,10.19,18639585.65
2023-10-23,10.189,11.058,9.789,10.577,24657322.01
2023-10-24,10.578,11.15,9.661,10.372,17094050.82
